Accident_Index,Casualty_Reference,Date,Casualty_Severity,Casualty_Type_Category,Location_Easting_OSGR,Location_Northing_OSGR
201114K008211,2,2011-01-06,Slight,Pedestrian,435450,385630
201114K008211,3,2011-01-06,Slight,Car,435450,385630
201114K008211,1,2011-01-06,Slight,Car,435450,385630
201114K008211,4,2011-01-06,Serious,Car,435450,385630
201114K008311,1,2011-01-07,Slight,Car,437310,390250
201114K008311,2,2011-01-07,Slight,Car,437310,390250
201114K008311,3,2011-01-07,Serious,Car,437310,390250
201114K008311,4,2011-01-07,Slight,Car,437310,390250
201114K009511,1,2011-01-10,Slight,Bus or Coach,435700,387700
201114K010111,1,2011-01-12,Slight,Car,434860,387070
201114K010411,1,2011-01-10,Slight,Car,433380,383110
201114K010511,1,2011-01-14,Slight,Car,436780,390270
201114K010511,2,2011-01-14,Slight,Car,436780,390270
201114K011011,1,2011-01-10,Slight,Car,430750,393370
201114K011011,2,2011-01-10,Slight,Pedestrian,430750,393370
201114K011211,1,2011-01-07,Slight,Car,428230,398180
201114K011311,1,2011-01-07,Slight,Car,438490,388620
201114K011311,2,2011-01-07,Slight,Car,438490,388620
201114K011511,1,2011-01-07,Slight,Car,436320,387570
201114K011511,2,2011-01-07,Slight,Car,436320,387570
201114K011611,1,2011-01-15,Slight,Car,435780,394450
201114K011711,1,2011-01-11,Slight,Car,432210,384080
201114K012211,1,2011-01-11,Slight,Car,437260,385660
201114K012511,1,2011-01-12,Slight,Pedestrian,433210,389660
201114K012611,1,2011-01-12,Slight,Car,439300,382950
201114K012711,1,2011-01-12,Slight,Car,433790,386710
201114K013311,1,2011-01-15,Slight,Motorcycle,431950,390540
201114K013611,1,2011-01-16,Slight,Car,439200,391970
201114K015111,1,2011-01-17,Slight,Bus or Coach,435550,396240
201114K015411,1,2011-01-17,Slight,Bus or Coach,435680,387360
201114K015511,1,2011-01-18,Slight,Motorcycle,436510,390610
201114K016211,1,2011-01-15,Slight,Car,433570,385750
201114K016911,1,2011-01-17,Slight,Car,434220,381240
201114K017011,1,2011-01-19,Slight,Pedestrian,435600,394600
201114K017111,1,2011-01-20,Slight,Car,443740,381420
201114K017211,1,2011-01-22,Slight,Car,441960,386100
201114K017611,1,2011-01-20,Slight,Car,437360,393510
201114K017711,1,2011-01-21,Slight,Car,438010,384780
201114K018011,1,2011-01-18,Serious,Motorcycle,431730,392030
201114K018311,1,2011-01-19,Slight,Car,437060,392830
201114K018311,3,2011-01-19,Slight,Car,437060,392830
201114K018311,2,2011-01-19,Slight,Car,437060,392830
201114K018311,4,2011-01-19,Slight,Car,437060,392830
201114K018411,1,2011-01-18,Slight,Pedestrian,433750,386840
201114K019511,1,2011-01-21,Slight,Motorcycle,431300,386290
201114K020811,1,2011-01-21,Slight,Bus or Coach,437600,383890
201114K020811,2,2011-01-21,Slight,Bus or Coach,437600,383890
201114K021011,1,2011-01-19,Slight,Pedestrian,431860,386580
201114K021511,1,2011-01-24,Slight,Car,433110,397360
201114K021511,2,2011-01-24,Slight,Car,433110,397360
201114K021611,1,2011-01-24,Slight,Pedal Cycle,435520,386580
201114K022111,1,2011-01-25,Slight,Pedal Cycle,435140,386360
201114K022411,1,2011-01-10,Slight,Car,434990,390690
201114K022811,1,2011-01-26,Slight,Car,438360,383450
201114K023111,1,2011-01-24,Slight,Motorcycle,434740,386450
201114K023411,1,2011-01-27,Slight,Motorcycle,433600,389910
201114K023711,1,2011-01-27,Slight,Car,434970,388660
201114K023811,1,2011-01-24,Slight,Pedestrian,435760,393620
201114K024211,1,2011-01-28,Slight,Car,433780,384220
201114K024411,1,2011-01-21,Slight,Car,438830,386760
201114K024811,1,2011-01-26,Slight,Motorcycle,435320,385480
201114K025211,1,2011-01-29,Slight,Bus or Coach,435790,389580
