Accident_Index,Casualty_Reference,Date,Casualty_Severity,Casualty_Type_Category,Location_Easting_OSGR,Location_Northing_OSGR
200514B024805,1,2005-02-21,Slight,Car,428680,398420
200514C112905,1,2005-07-13,Slight,Car,439310,391810
200514C112905,2,2005-07-13,Slight,Car,439310,391810
200514C169205,1,2005-10-25,Slight,Car,439320,391830
200514C178905,1,2005-11-04,Slight,Car,440650,390320
200514C178905,2,2005-11-04,Slight,Car,440650,390320
200514D000305,1,2005-01-02,Slight,Car,435510,385780
200514D000505,1,2005-01-03,Slight,Car,438760,386110
200514D000605,1,2005-01-03,Slight,Car,436090,385420
200514D000805,1,2005-01-01,Slight,Car,435660,389340
200514D001005,1,2005-01-04,Slight,Light goods vehicles,439950,390860
200514D001005,2,2005-01-04,Slight,Light goods vehicles,439950,390860
200514D001005,3,2005-01-04,Slight,Light goods vehicles,439950,390860
200514D001305,1,2005-01-05,Slight,Bus or Coach,434970,386410
200514D001305,2,2005-01-05,Slight,Bus or Coach,434970,386410
200514D001405,1,2005-01-04,Slight,Car,436280,391570
200514D001405,2,2005-01-04,Slight,Car,436280,391570
200514D001405,3,2005-01-04,Slight,Car,436280,391570
200514D001605,1,2005-01-05,Slight,Car,436370,392020
200514D001805,1,2005-01-05,Slight,Car,435860,389630
200514D001905,1,2005-01-01,Slight,Car,436550,387700
200514D002205,1,2005-01-03,Slight,Bus or Coach,435440,388390
200514D002605,1,2005-01-11,Slight,Pedestrian,439580,385130
200514D003405,1,2005-01-05,Slight,Pedestrian,435640,387620
200514D003705,1,2005-01-11,Slight,Car,439360,386550
200514D003705,2,2005-01-11,Slight,Car,439360,386550
200514D003805,1,2005-01-07,Slight,Car,434760,386660
200514D004105,1,2005-01-12,Slight,Car,439800,390790
200514D004105,2,2005-01-12,Slight,Car,439800,390790
200514D004205,1,2005-01-12,Slight,Light goods vehicles,436000,386190
200514D004305,1,2005-01-12,Serious,Pedestrian,435650,389430
200514D004505,1,2005-01-13,Slight,Bus or Coach,435750,387810
200514D004905,1,2005-01-15,Slight,Car,436510,386450
200514D005105,1,2005-01-14,Slight,Car,435640,386510
200514D005105,2,2005-01-14,Serious,Car,435640,386510
200514D005305,1,2005-01-13,Slight,Car,435890,387690
200514D005305,2,2005-01-13,Slight,Car,435890,387690
200514D005605,1,2005-01-12,Slight,Car,435520,389070
200514D005705,1,2005-01-17,Slight,Pedestrian,438720,389670
200514D005805,1,2005-01-15,Slight,Car,438830,386370
200514D005805,2,2005-01-15,Slight,Car,438830,386370
200514D006105,1,2005-01-14,Slight,Pedestrian,435260,387520
200514D006205,1,2005-01-06,Slight,Bus or Coach,435550,387720
200514D006405,1,2005-01-16,Slight,Car,439110,390170
200514D006405,2,2005-01-16,Slight,Car,439110,390170
200514D006505,1,2005-01-11,Slight,Pedestrian,439010,390070
200514D006605,1,2005-01-14,Serious,Pedestrian,435880,389440
200514D006805,1,2005-01-08,Slight,Car,436660,389230
200514D006805,2,2005-01-08,Slight,Car,436660,389230
200514D006905,1,2005-01-14,Slight,Pedal Cycle,436310,389790
200514D007105,1,2005-01-08,Slight,Car,438820,390630
200514D007205,1,2005-01-10,Slight,Pedestrian,436810,391380
200514D007305,1,2005-01-06,Slight,Pedestrian,435350,387070
200514D007605,1,2005-01-20,Slight,Pedestrian,435700,387100
200514D007705,1,2005-01-19,Slight,Car,438840,386370
200514D008205,1,2005-01-21,Serious,Car,436380,390040
200514D008205,2,2005-01-21,Serious,Car,436380,390040
200514D008205,3,2005-01-21,Serious,Car,436380,390040
200514D008205,4,2005-01-21,Slight,Car,436380,390040
200514D008205,5,2005-01-21,Serious,Car,436380,390040
200514D008305,1,2005-01-23,Fatal,Car,438140,390480
200514D008505,1,2005-01-20,Serious,Motorcycle,434990,388000
200514D008805,1,2005-01-19,Slight,Car,437980,390680
200514D008905,1,2005-01-18,Slight,Car,435900,387730
200514D009405,1,2005-01-25,Slight,Pedestrian,435670,386800
200514D009505,1,2005-01-15,Slight,Car,438980,392220
200514D009505,2,2005-01-15,Slight,Car,438980,392220
200514D009605,1,2005-01-20,Slight,Car,436440,388110
200514D009705,1,2005-01-10,Slight,Bus or Coach,435840,386530
200514D010105,1,2005-01-25,Serious,Pedestrian,435720,387490
200514D010205,1,2005-01-23,Slight,Car,437350,393520
200514D010505,1,2005-01-22,Slight,Pedestrian,438300,389330
200514D010605,1,2005-01-18,Slight,Car,437440,392800
200514D010605,3,2005-01-18,Slight,Car,437440,392800
200514D010605,2,2005-01-18,Slight,Car,437440,392800
200514D011305,1,2005-01-23,Slight,Pedestrian,436970,386860
200514D011405,1,2005-01-26,Slight,Car,438890,391600
200514D011605,1,2005-01-28,Slight,Car,436120,388520
200514D012205,1,2005-01-29,Slight,Car,436510,390200
200514D012205,2,2005-01-29,Slight,Car,436510,390200
200514D012205,3,2005-01-29,Slight,Car,436510,390200
200514D012405,1,2005-01-28,Slight,Car,439520,391420
200514D012405,3,2005-01-28,Slight,Car,439520,391420
200514D012405,2,2005-01-28,Slight,Car,439520,391420
200514D012605,1,2005-01-23,Slight,Car,439320,391780
200514D012705,1,2005-01-30,Serious,Pedestrian,438750,386110
200514D013205,2,2005-01-30,Slight,Car,437460,390070
200514D013205,3,2005-01-30,Slight,Car,437460,390070
200514D013205,4,2005-01-30,Slight,Car,437460,390070
200514D013205,1,2005-01-30,Slight,Car,437460,390070
200514D013305,1,2005-01-30,Slight,Car,436060,388530
200514D013605,1,2005-01-24,Serious,Car,435250,385910
200514D014205,1,2005-02-01,Slight,Car,436260,389930
200514D015005,1,2005-02-03,Slight,Car,439350,387830
200514D015105,1,2005-01-05,Slight,Car,436310,391830
200514D015205,1,2005-02-05,Serious,Motorcycle,439440,387720
200514D015305,1,2005-01-04,Slight,Car,435750,389540
200514D015405,1,2005-01-08,Slight,Car,438870,390410
200514D015405,2,2005-01-08,Slight,Car,438870,390410
200514D016005,1,2005-02-04,Serious,Pedestrian,438120,385030
200514D016105,1,2005-02-02,Slight,Bus or Coach,439270,385760
200514D016405,1,2005-02-02,Slight,Car,435730,387280
200514D016505,1,2005-02-03,Slight,Pedestrian,436660,390320
200514D016705,1,2005-02-05,Slight,Car,437610,393740
200514D017605,1,2005-02-06,Slight,Car,437560,389410
200514D017605,3,2005-02-06,Slight,Car,437560,389410
200514D017605,2,2005-02-06,Serious,Car,437560,389410
200514D017705,1,2005-01-26,Slight,Car,440260,390360
200514D018405,1,2005-02-06,Serious,Car,436500,390170
200514D018405,4,2005-02-06,Serious,Pedestrian,436500,390170
200514D018405,5,2005-02-06,Slight,Pedestrian,436500,390170
200514D018405,2,2005-02-06,Slight,Car,436500,390170
200514D018405,3,2005-02-06,Slight,Car,436500,390170
200514D018605,1,2005-02-03,Slight,Pedal Cycle,434720,386480
200514D018805,1,2005-02-02,Slight,Bus or Coach,436830,391370
200514D019305,1,2005-01-31,Slight,Car,438880,392440
200514D020105,1,2005-02-04,Slight,Bus or Coach,435720,387510
200514D020305,1,2005-02-10,Slight,Bus or Coach,434950,386650
200514D020405,1,2005-02-10,Slight,Car,435560,389270
200514D020505,1,2005-02-12,Serious,Car,439820,390150
200514D020605,1,2005-02-11,Slight,Car,436070,386910
200514D020605,2,2005-02-11,Slight,Car,436070,386910
200514D020605,3,2005-02-11,Slight,Car,436070,386910
200514D020705,1,2005-02-10,Serious,Pedestrian,441350,386370
200514D020805,1,2005-02-13,Slight,Pedestrian,434880,386090
200514D021405,1,2005-02-12,Slight,Pedestrian,439200,387870
200514D021505,1,2005-02-13,Slight,Car,438250,385580
200514D021705,1,2005-02-12,Slight,Car,440110,387160
200514D022505,1,2005-02-15,Slight,Pedestrian,437270,391350
200514D022705,1,2005-02-16,Slight,Car,437860,390370
200514D022805,1,2005-02-15,Serious,Car,437540,392900
200514D022905,1,2005-02-12,Slight,Car,436350,387750
200514D023505,1,2005-01-22,Slight,Car,436660,389220
200514D023605,1,2005-02-12,Slight,Pedestrian,435300,386740
200514D023705,1,2005-02-17,Serious,Motorcycle,437270,392820
200514D024005,1,2005-02-16,Serious,Pedestrian,435610,387630
200514D024105,1,2005-02-19,Slight,Car,435160,386350
200514D024405,1,2005-02-04,Slight,Car,438830,386370
200514D024805,1,2005-02-18,Slight,Car,434890,387480
200514D024805,2,2005-02-18,Slight,Car,434890,387480
200514D024905,1,2005-02-19,Slight,Car,436050,386880
200514D025005,1,2005-02-19,Slight,Bus or Coach,435100,386550
200514D025305,1,2005-02-12,Slight,Car,436470,386840
200514D025305,2,2005-02-12,Slight,Car,436470,386840
200514D025505,1,2005-02-08,Slight,Car,435770,386660
200514D025605,1,2005-02-20,Slight,Bus or Coach,435680,387380
200514D026805,1,2005-02-18,Slight,Motorcycle,439360,391870
200514D027505,1,2005-01-29,Slight,Bus or Coach,435350,386840
200514D027805,1,2005-02-24,Slight,Car,436820,388010
200514D028005,1,2005-02-18,Slight,Car,439350,388260
200514D028005,2,2005-02-18,Slight,Car,439350,388260
200514D028305,1,2005-02-27,Fatal,Car,437320,392820
200514D028305,2,2005-02-27,Serious,Car,437320,392820
200514D028305,3,2005-02-27,Slight,Car,437320,392820
200514D028305,4,2005-02-27,Slight,Car,437320,392820
200514D028505,1,2005-02-25,Slight,Pedestrian,434960,387240
200514D028905,1,2005-02-28,Slight,Car,435430,388070
200514D029705,1,2005-02-06,Slight,Car,436660,386440
200514D030205,1,2005-02-28,Slight,Car,439040,386620
200514D030305,1,2005-02-22,Slight,Car,438840,386370
200514D030405,1,2005-01-06,Slight,Pedal Cycle,435240,386920
200514D030705,1,2005-02-21,Slight,Car,434390,387340
200514D031705,1,2005-02-26,Slight,Car,434830,388030
200514D032705,1,2005-03-05,Slight,Car,436410,387740
200514D032705,2,2005-03-05,Slight,Car,436410,387740
200514D033305,1,2005-02-10,Slight,Pedal Cycle,438900,385630
200514D033905,1,2005-03-05,Slight,Bus or Coach,435480,387000
200514D034605,1,2005-03-08,Slight,Car,439500,385670
200514D034605,2,2005-03-08,Slight,Car,439500,385670
200514D034705,1,2005-03-08,Slight,Pedal Cycle,434780,387790
200514D034805,1,2005-03-08,Slight,Motorcycle,435390,385670
200514D034905,1,2005-03-05,Slight,Car,435710,387740
200514D034905,2,2005-03-05,Slight,Car,435710,387740
200514D034905,3,2005-03-05,Slight,Car,435710,387740
200514D036005,1,2005-03-10,Slight,Car,436670,388410
200514D036205,1,2005-03-09,Slight,Motorcycle,437060,386320
200514D036705,1,2005-03-06,Slight,Car,437130,386200
200514D036905,1,2005-03-11,Slight,Car,438090,389980
200514D037105,1,2005-03-11,Slight,Pedestrian,436710,389970
200514D037205,1,2005-03-13,Slight,Car,440220,385810
200514D037205,2,2005-03-13,Slight,Car,440220,385810
200514D037405,1,2005-03-14,Slight,Bus or Coach,440620,386110
200514D037605,1,2005-03-13,Serious,Car,437360,393520
200514D037805,1,2005-02-10,Slight,Car,439160,386950
200514D037805,2,2005-02-10,Slight,Car,439160,386950
200514D037805,3,2005-02-10,Slight,Car,439160,386950
200514D037805,4,2005-02-10,Slight,Car,439160,386950
200514D038005,1,2005-02-28,Slight,Light goods vehicles,439900,387490
200514D038505,1,2005-03-16,Serious,Car,439800,385380
200514D038605,1,2005-03-16,Slight,Car,436670,389220
200514D039105,1,2005-03-15,Slight,Pedestrian,435460,388160
200514D039205,1,2005-03-16,Serious,Pedestrian,435660,389120
200514D039505,1,2005-03-19,Serious,Car,439480,390490
200514D039505,2,2005-03-19,Slight,Car,439480,390490
200514D039705,1,2005-03-19,Slight,Car,439170,388920
200514D040105,1,2005-03-20,Slight,Pedestrian,435050,387130
200514D040505,1,2005-03-17,Slight,Car,435950,388110
200514D040505,2,2005-03-17,Slight,Car,435950,388110
200514D041205,1,2005-03-19,Slight,Motorcycle,437310,393160
200514D041405,1,2005-03-16,Slight,Car,438760,390730
200514D041705,1,2005-03-21,Slight,Car,440330,386840
200514D041805,1,2005-03-22,Slight,Car,435660,389120
200514D041905,1,2005-02-26,Slight,Car,440650,390320
200514D042005,1,2005-03-18,Slight,Car,438840,391770
200514D042105,1,2005-03-23,Slight,Car,436310,391830
200514D042605,1,2005-03-09,Serious,Other,435410,387430
200514D042705,1,2005-03-24,Slight,Car,434720,387920
200514D042705,2,2005-03-24,Slight,Car,434720,387920
200514D042705,3,2005-03-24,Slight,Car,434720,387920
200514D042705,4,2005-03-24,Slight,Car,434720,387920
200514D042805,1,2005-03-24,Slight,Car,435520,386750
200514D042905,1,2005-03-26,Slight,Car,436660,388420
200514D042905,2,2005-03-26,Slight,Car,436660,388420
200514D043005,1,2005-03-24,Slight,Pedestrian,435830,387920
200514D043105,1,2005-03-22,Serious,Car,436710,390270
200514D043105,2,2005-03-22,Serious,Car,436710,390270
200514D043205,1,2005-03-26,Slight,Car,436810,393650
200514D043205,2,2005-03-26,Slight,Car,436810,393650
200514D043305,1,2005-03-23,Slight,Car,438350,390980
200514D043405,1,2005-03-23,Slight,Car,439180,386990
200514D043505,1,2005-03-27,Slight,Car,434890,386220
200514D043905,1,2005-03-23,Slight,Car,439040,386620
200514D044305,1,2005-03-19,Slight,Car,436060,388270
200514D044305,2,2005-03-19,Slight,Car,436060,388270
200514D045005,1,2005-03-24,Slight,Car,439950,390700
200514D045005,2,2005-03-24,Slight,Car,439950,390700
200514D045105,1,2005-03-30,Serious,Car,438920,391300
200514D046105,1,2005-03-16,Slight,Pedestrian,440270,386930
200514D046205,1,2005-03-31,Slight,Car,438890,389950
200514D046205,2,2005-03-31,Slight,Car,438890,389950
200514D046205,3,2005-03-31,Slight,Car,438890,389950
200514D046205,4,2005-03-31,Slight,Car,438890,389950
200514D046405,1,2005-04-01,Slight,Motorcycle,435160,386320
200514D046605,1,2005-03-29,Slight,Bus or Coach,440130,387150
200514D046705,1,2005-03-22,Slight,Car,438750,385810
200514D047205,1,2005-03-11,Slight,Pedestrian,434670,387140
200514D047705,1,2005-03-30,Slight,Bus or Coach,435600,387260
200514D048005,1,2005-04-05,Slight,Pedestrian,434700,387150
200514D048105,2,2005-04-04,Slight,Light goods vehicles,435320,387750
200514D048105,1,2005-04-04,Slight,Car,435320,387750
200514D048105,3,2005-04-04,Slight,Car,435320,387750
200514D048205,1,2005-04-01,Slight,Bus or Coach,440510,386630
200514D048305,1,2005-04-03,Serious,Pedestrian,435960,387410
200514D048505,1,2005-04-06,Slight,Pedestrian,437370,386770
200514D048605,1,2005-04-05,Slight,Car,437970,388140
200514D048605,2,2005-04-05,Slight,Car,437970,388140
200514D049005,1,2005-03-21,Slight,Car,435170,388070
200514D049005,2,2005-03-21,Slight,Car,435170,388070
200514D049105,1,2005-04-07,Slight,Car,436730,388330
200514D049805,1,2005-04-06,Slight,Bus or Coach,437680,385480
200514D049905,1,2005-04-04,Slight,Car,437020,392710
200514D049905,2,2005-04-04,Slight,Car,437020,392710
200514D050005,1,2005-04-08,Slight,Light goods vehicles,434790,387180
200514D050005,2,2005-04-08,Slight,Light goods vehicles,434790,387180
200514D050105,1,2005-04-07,Slight,Car,440620,386100
200514D050105,2,2005-04-07,Slight,Car,440620,386100
200514D050305,1,2005-03-29,Slight,Pedestrian,436820,390350
200514D050605,1,2005-04-06,Serious,Pedestrian,435630,387500
200514D051105,1,2005-04-10,Slight,Motorcycle,435580,387070
200514D051105,2,2005-04-10,Slight,Pedestrian,435580,387070
200514D051205,1,2005-04-09,Serious,Pedestrian,435730,387620
200514D051405,1,2005-04-10,Slight,Car,438700,389800
200514D051405,2,2005-04-10,Slight,Car,438700,389800
200514D051505,1,2005-04-02,Slight,Car,436430,386500
200514D051505,2,2005-04-02,Slight,Car,436430,386500
200514D051605,1,2005-03-19,Slight,Car,436730,392450
200514D051705,1,2005-04-13,Slight,Pedestrian,435790,386340
200514D052305,1,2005-04-14,Slight,Light goods vehicles,441950,386100
200514D052405,1,2005-04-09,Slight,Car,437370,386320
200514D052505,1,2005-04-06,Slight,Car,435440,386650
200514D052505,3,2005-04-06,Slight,Car,435440,386650
200514D052505,4,2005-04-06,Serious,Car,435440,386650
200514D052505,2,2005-04-06,Slight,Car,435440,386650
200514D052605,1,2005-04-12,Slight,Car,437940,390060
200514D052605,2,2005-04-12,Slight,Car,437940,390060
200514D052605,3,2005-04-12,Slight,Car,437940,390060
200514D052805,1,2005-04-15,Serious,Motorcycle,438830,386370
200514D053205,2,2005-04-15,Slight,Car,437560,389400
200514D053205,1,2005-04-15,Slight,Car,437560,389400
200514D053205,3,2005-04-15,Slight,Car,437560,389400
200514D053905,1,2005-04-16,Slight,Car,436670,388130
200514D054005,1,2005-04-14,Slight,Motorcycle,434800,387170
200514D054105,1,2005-04-12,Slight,Bus or Coach,436020,388110
200514D054305,1,2005-04-16,Slight,Bus or Coach,439130,387880
200514D054405,1,2005-04-16,Serious,Pedestrian,435300,386740
200514D054505,1,2005-04-13,Slight,Car,435690,386510
200514D054905,1,2005-01-20,Slight,Car,436710,390030
200514D055205,1,2005-04-20,Serious,Pedestrian,438080,388550
200514D055305,1,2005-04-20,Slight,Pedestrian,438810,391760
200514D055405,1,2005-04-20,Serious,Pedestrian,438980,388150
200514D055705,1,2005-04-19,Slight,Pedestrian,435250,385900
200514D056005,1,2005-04-21,Slight,Car,439210,391960
200514D056305,1,2005-04-22,Serious,Pedestrian,435240,386920
200514D056405,1,2005-04-25,Slight,Pedestrian,435540,387460
200514D056505,1,2005-04-22,Slight,Bus or Coach,435690,387480
200514D056605,1,2005-04-21,Slight,Car,439160,391860
200514D056705,1,2005-04-16,Slight,Bus or Coach,435540,387030
200514D057005,1,2005-04-23,Slight,Bus or Coach,435700,387710
200514D057205,1,2005-04-23,Slight,Car,437380,389600
200514D057205,2,2005-04-23,Slight,Car,437380,389600
200514D057405,1,2005-04-25,Slight,Pedestrian,436820,390360
200514D057505,1,2005-04-26,Slight,Car,435930,388730
200514D058305,1,2005-04-17,Slight,Car,437390,390010
200514D058405,1,2005-04-25,Slight,Bus or Coach,435680,387340
200514D058605,1,2005-04-30,Slight,Car,438720,389670
200514D058605,2,2005-04-30,Slight,Car,438720,389670
200514D058605,4,2005-04-30,Slight,Car,438720,389670
200514D058605,3,2005-04-30,Slight,Car,438720,389670
200514D058705,1,2005-05-01,Serious,Pedestrian,440270,391180
200514D058805,1,2005-05-02,Slight,Car,436750,392120
200514D058805,3,2005-05-02,Slight,Car,436750,392120
200514D058805,2,2005-05-02,Slight,Car,436750,392120
200514D058905,1,2005-04-29,Slight,Bus or Coach,434980,386620
200514D058905,2,2005-04-29,Slight,Bus or Coach,434980,386620
200514D059505,1,2005-04-29,Slight,Bus or Coach,435090,386560
200514D059505,2,2005-04-29,Slight,Bus or Coach,435090,386560
200514D059605,1,2005-04-27,Slight,Car,434980,386410
200514D059705,1,2005-04-30,Slight,Car,436470,386840
200514D059705,2,2005-04-30,Slight,Car,436470,386840
200514D059805,1,2005-04-28,Slight,Bus or Coach,435980,388150
200514D060705,1,2005-04-30,Serious,Pedestrian,435490,387260
200514D060805,1,2005-05-03,Slight,Car,438130,390890
200514D060905,1,2005-05-04,Slight,Car,439140,391490
200514D061405,1,2005-04-28,Slight,Bus or Coach,435940,388070
200514D061605,1,2005-05-05,Slight,Pedestrian,435080,387200
200514D061705,1,2005-05-03,Slight,Car,439120,390200
200514D061705,2,2005-05-03,Slight,Car,439120,390200
200514D062005,1,2005-04-29,Slight,Pedestrian,436050,388300
200514D062205,1,2005-05-06,Slight,Car,438080,390430
200514D062205,2,2005-05-06,Slight,Car,438080,390430
200514D062705,1,2005-05-08,Slight,Car,436660,389220
200514D062705,3,2005-05-08,Slight,Car,436660,389220
200514D062705,2,2005-05-08,Slight,Car,436660,389220
200514D062905,1,2005-05-02,Serious,Car,435230,387670
200514D063005,1,2005-05-06,Slight,Bus or Coach,435530,387720
200514D063205,1,2005-05-06,Slight,Pedestrian,435730,387500
200514D063305,1,2005-05-06,Slight,Bus or Coach,437520,385640
200514D064205,1,2005-05-06,Slight,Pedestrian,434410,387250
200514D064305,1,2005-04-28,Slight,Pedal Cycle,438690,390640
200514D064505,1,2005-04-30,Slight,Car,438780,389860
200514D064505,3,2005-04-30,Slight,Car,438780,389860
200514D064505,2,2005-04-30,Slight,Car,438780,389860
200514D064605,1,2005-05-09,Slight,Car,438530,390790
200514D064805,1,2005-05-09,Slight,Car,438910,386530
200514D065105,1,2005-05-10,Slight,Car,441130,388260
200514D065305,1,2005-05-08,Serious,Pedestrian,436270,392240
200514D065405,1,2005-05-10,Slight,Car,439090,390610
200514D065505,1,2005-05-10,Slight,Bus or Coach,435080,386560
200514D065605,1,2005-05-12,Fatal,Pedestrian,435990,387460
200514D065705,1,2005-05-07,Serious,Pedestrian,437270,392820
200514D065905,1,2005-05-12,Slight,Car,437880,391320
200514D066105,1,2005-05-13,Serious,Pedestrian,436550,390570
200514D066205,1,2005-05-14,Slight,Car,438200,385260
200514D066205,2,2005-05-14,Slight,Car,438200,385260
200514D066405,1,2005-05-12,Serious,Pedestrian,435590,388870
200514D066505,1,2005-05-13,Slight,Pedestrian,435630,386760
200514D066605,1,2005-05-12,Slight,Car,435660,388030
200514D067105,1,2005-05-13,Slight,Bus or Coach,435690,387430
200514D067205,1,2005-05-15,Slight,Motorcycle,439210,387440
200514D067505,1,2005-05-08,Slight,Car,440230,387010
200514D067605,1,2005-05-14,Slight,Car,438710,388050
200514D067605,3,2005-05-14,Slight,Car,438710,388050
200514D067605,2,2005-05-14,Slight,Car,438710,388050
200514D068005,1,2005-05-16,Slight,Car,437520,385640
200514D068105,1,2005-05-09,Slight,Car,441150,386300
200514D068205,1,2005-05-16,Slight,Car,439520,390860
200514D068305,1,2005-05-17,Slight,Car,437410,385750
200514D068305,3,2005-05-17,Slight,Car,437410,385750
200514D068305,2,2005-05-17,Slight,Car,437410,385750
200514D068505,1,2005-05-13,Serious,Pedestrian,435720,389530
200514D069205,2,2005-01-19,Slight,Car,436590,392910
200514D069205,1,2005-01-19,Slight,Car,436590,392910
200514D069505,1,2005-05-17,Slight,Car,436470,387670
200514D069605,1,2005-05-19,Slight,Car,435840,386500
200514D069705,1,2005-05-16,Slight,Pedestrian,434390,387230
200514D069805,1,2005-05-05,Slight,Car,436810,390490
200514D070105,1,2005-05-20,Slight,Car,435540,389200
200514D070205,1,2005-05-18,Slight,Car,439790,390910
200514D070705,1,2005-05-12,Slight,Car,437790,388400
200514D070805,1,2005-05-13,Slight,Motorcycle,436590,392710
200514D070905,1,2005-05-21,Slight,Car,435490,386450
200514D070905,3,2005-05-21,Slight,Car,435490,386450
200514D070905,4,2005-05-21,Slight,Car,435490,386450
200514D070905,5,2005-05-21,Slight,Car,435490,386450
200514D070905,6,2005-05-21,Slight,Car,435490,386450
200514D070905,7,2005-05-21,Slight,Car,435490,386450
200514D070905,2,2005-05-21,Slight,Car,435490,386450
200514D071005,1,2005-05-21,Slight,Pedestrian,439150,385390
200514D071105,1,2005-05-21,Slight,Car,438340,385400
200514D071105,2,2005-05-21,Slight,Car,438340,385400
200514D071105,3,2005-05-21,Slight,Car,438340,385400
200514D071705,1,2005-05-22,Slight,Car,436480,389410
200514D071805,1,2005-05-23,Slight,Car,436060,388530
200514D072005,1,2005-05-22,Slight,Car,439050,388100
200514D072005,3,2005-05-22,Slight,Car,439050,388100
200514D072005,2,2005-05-22,Slight,Car,439050,388100
200514D072805,1,2005-05-24,Slight,Car,435700,388060
200514D072805,2,2005-05-24,Slight,Car,435700,388060
200514D072905,1,2005-05-22,Slight,Car,438470,390410
200514D073305,1,2005-05-25,Slight,Bus or Coach,437180,387030
200514D073305,2,2005-05-25,Slight,Bus or Coach,437180,387030
200514D073305,3,2005-05-25,Slight,Bus or Coach,437180,387030
200514D073405,1,2005-05-22,Slight,Pedestrian,436810,391420
200514D073505,1,2005-05-24,Slight,Car,436480,388600
200514D073505,2,2005-05-24,Slight,Car,436480,388600
200514D073605,1,2005-05-23,Slight,Bus or Coach,435240,387380
200514D073805,1,2005-05-29,Slight,Bus or Coach,436800,390460
200514D073905,1,2005-05-28,Slight,Car,438560,387370
200514D075705,1,2005-06-01,Slight,Car,437280,388380
200514D075805,1,2005-05-26,Slight,Car,438050,386620
200514D075805,2,2005-05-26,Serious,Motorcycle,438050,386620
200514D075905,1,2005-06-03,Slight,Car,439120,391170
200514D076105,1,2005-05-28,Serious,Pedestrian,435440,386640
200514D076305,1,2005-06-04,Slight,Pedestrian,438740,385660
200514D076705,1,2005-06-06,Slight,Car,438680,389750
200514D077205,1,2005-06-06,Slight,Car,435300,387760
200514D077305,1,2005-04-13,Slight,Pedestrian,436650,391840
200514D077705,1,2005-06-03,Slight,Pedestrian,435700,386780
200514D077905,1,2005-06-07,Slight,Car,435300,387760
200514D078105,1,2005-06-07,Slight,Car,439630,387640
200514D078305,1,2005-06-06,Slight,Motorcycle,436250,388230
200514D078705,1,2005-06-04,Slight,Pedestrian,435080,387200
200514D078705,2,2005-06-04,Slight,Pedestrian,435080,387200
200514D079305,1,2005-06-11,Slight,Motorcycle,438740,385780
200514D079705,1,2005-06-07,Slight,Light goods vehicles,438540,386910
200514D079805,1,2005-06-13,Serious,Pedestrian,438710,388100
200514D079805,2,2005-06-13,Slight,Pedestrian,438710,388100
200514D079805,3,2005-06-13,Slight,Pedestrian,438710,388100
200514D080205,1,2005-06-13,Slight,Pedestrian,436440,387650
200514D080905,1,2005-06-15,Slight,Car,436400,388100
200514D081305,1,2005-06-14,Serious,Pedal Cycle,437400,388400
200514D081605,3,2005-06-18,Slight,Car,439620,387640
200514D081605,4,2005-06-18,Slight,Car,439620,387640
200514D081605,1,2005-06-18,Slight,Car,439620,387640
200514D081605,2,2005-06-18,Slight,Car,439620,387640
200514D082105,1,2005-06-19,Slight,Motorcycle,436380,392740
200514D082105,2,2005-06-19,Slight,Motorcycle,436380,392740
200514D082205,1,2005-06-13,Slight,Pedestrian,435700,387700
200514D082405,1,2005-06-19,Slight,Car,439000,389310
200514D082405,2,2005-06-19,Slight,Car,439000,389310
200514D082405,3,2005-06-19,Serious,Car,439000,389310
200514D082805,1,2005-06-14,Slight,Car,438690,389720
200514D082805,2,2005-06-14,Slight,Car,438690,389720
200514D082905,1,2005-06-21,Serious,Pedestrian,437000,386420
200514D083005,1,2005-06-21,Serious,Motorcycle,439540,390610
200514D083105,1,2005-06-20,Slight,Pedestrian,435620,387510
200514D083605,1,2005-06-20,Slight,Car,434880,388100
200514D083805,1,2005-06-23,Slight,Car,438960,390630
200514D083905,1,2005-06-22,Slight,Car,438540,389610
200514D084505,1,2005-06-24,Slight,Light goods vehicles,436920,387440
200514D084905,1,2005-06-23,Serious,Pedestrian,434410,387120
200514D085405,1,2005-05-19,Slight,Bus or Coach,435630,387480
200514D085405,2,2005-05-19,Slight,Bus or Coach,435630,387480
200514D085405,3,2005-05-19,Slight,Bus or Coach,435630,387480
200514D085605,1,2005-06-20,Slight,Bus or Coach,438710,388050
200514D086005,1,2005-06-27,Slight,Car,439170,391720
200514D086005,2,2005-06-27,Slight,Car,439170,391720
200514D086305,1,2005-06-17,Slight,Car,438470,390450
200514D086805,1,2005-06-24,Slight,"Heavy goods vehicles ",439230,391940
200514D088005,1,2005-07-01,Slight,Car,438410,386710
200514D088205,1,2005-06-30,Serious,Pedestrian,439030,387920
200514D088305,1,2005-06-25,Slight,Bus or Coach,435270,386970
200514D088605,1,2005-06-21,Slight,Pedal Cycle,436110,389810
200514D088805,1,2005-07-02,Slight,"Heavy goods vehicles ",440200,386310
200514D089005,1,2005-07-03,Slight,Car,435760,387820
200514D089005,2,2005-07-03,Slight,Car,435760,387820
200514D089005,3,2005-07-03,Slight,Car,435760,387820
200514D089105,1,2005-06-26,Slight,Car,435200,386130
200514D089105,2,2005-06-26,Slight,Car,435200,386130
200514D089105,3,2005-06-26,Slight,Car,435200,386130
